avg_stairs,avg_lift
161.98681213314705,369.1422797551759
164.03648230742039,373.1798134070074
115.77699511391502,420.2571944870741
168.5404538251451,321.7909030293177
167.34284035687602,384.1637880512573
188.22768532063867,351.65731090546694
185.22487576453102,353.47380285007904
225.12581961438744,273.0537705194264
166.6578729917794,322.4120110221235
183.1137090835943,386.3367941601582
157.4950781476986,415.2164452687787
197.36069387364094,447.02033355596853
124.65217994059532,373.49066278741645
190.77076992199338,307.54238517569587
163.04218036662297,470.48625364562974
148.84900651405377,329.8886650502379
149.88985181752074,382.79386387166915
219.92646857101198,290.80932815804937
140.72400135248446,456.3760333131225
124.25895013521027,319.44869718092605
